State,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14
Baden-Württemberg,170,182,204,237,277,454,454,569
Bayen,134,172,256,314,366,500,588,681
Berlin,28,40,48,48,90,137,174,216
Brandenburg,2,4,6,9,24,30,44,61
Bremen,4,4,4,4,21,38,42,50
Hamburg,13,13,17,29,48,88,99,158
Hessen,17,19,26,35,48,99,148,203
Mecklenburg-Vorpommern,5,8,10,13,17,23,33,45
Niedersachsen,19,21,38,49,75,129,230,253
Nordrhein-Westfalen,373,398,484,484,484,688,936,1154
Rheinland-Pfalz,13,19,17,25,25,52,102,121
Saarland,3,4,6,7,14,14,40,40
Sachsen,4,7,12,22,26,45,83,93
Sachsen-Anhalt,0,0,0,7,15,27,42,45
Schleswig-Holstein,8,9,9,9,27,31,48,60
Thüringen,2,2,2,4,10,14,29,46
