State,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
Baden-Württemberg,28,50,73,96,170,182,204,237,277,454,454,569,827,1105,1479,1609,2155,2749,3668
Bayern,37,48,70,117,134,172,256,314,366,500,588,681,886,1067,1109,1243,1692,2401,2960
Berlin,3,7,13,19,28,40,48,48,90,137,174,216,265,300,345,391,573,731,866
Brandenburg,1,1,1,2,2,4,6,9,24,30,44,61,84,94,73,92,134,192,254
Bremen,2,3,3,4,4,4,4,4,21,38,42,50,53,56,57,69,80,121,142
Hamburg,2,3,5,11,13,13,17,29,48,88,99,158,162,260,310,358,432,586,587
Hessen,12,12,14,16,17,19,26,35,48,99,148,203,286,342,373,432,682,831,1080
Mecklenburg-Vorpommern,0,4,4,5,5,8,10,13,17,23,33,45,50,51,45,56,98,131,165
Niedersachsen,2,7,18,18,19,21,38,49,75,129,230,253,287,391,325,478,669,803,1023
Nordrhein-Westfalen,103,115,181,329,373,398,484,484,484,688,936,1154,1407,1541,2105,2372,3033,3497,3542
Rheinland-Pfalz,2,7,8,10,13,19,17,25,25,52,102,121,168,325,442,474,637,801,938
Saarland,0,1,1,2,3,4,6,7,14,14,40,40,32,85,75,88,99,146,187
Sachsen,1,1,1,2,4,7,12,22,26,45,83,93,130,140,182,198,275,394,567
Sachsen-Anhalt,0,0,0,0,0,0,0,7,15,27,42,45,47,77,58,105,140,180,188
Schleswig-Holstein,2,2,7,7,8,9,9,9,27,31,48,60,103,123,127,159,202,266,308
Thüringen,1,1,1,1,2,2,2,4,10,14,29,46,51,55,51,74,98,149,187
